,Empresa,Stand,Workshop,Conferencia,Mesa Redonda,Publicidad catálogo,Conexión Teleco,Patrocinio,Nueva,Anotaciones y nº Stand Posible,Nº Stand,Llamada?,,,,,,,,nº1
7,NTT DATA,Básico Minas,Sí,No,No,No,No,No,No,nº 1,1,No,,,,,,,,nº2
25,IMATIA INNOVATION,Básico Minas,No,Sí,No,No,Sí (ENTIDAD AMIGA),No,No,,2,No,CÓDIGO COLORES CELDA,,,,,,,nº3
26,CAMPUS DUAL TIC,Básico Minas,Sí,No,No,No,No,No,No,,3,Si,Falta la info de la empresa,,,,,,,nº4
5,CEAGA,Avanzado Minas,Sí,Sí,Sí,1 página,No,No,No,Se cambian avanzado de minas (nº 4),4,No,,,,,,,,nº5
30,FINANCIERA MADERERA SA,Básico Minas,No,No,No,No,No,No,No,,5,No,Tenemos lo necesario,,,,,,,nº6
20,SREC Solutions,Básico Minas,Sí,No,No,No,No,No,No,,6,No,Factura evento lista,,,,,,,nº7
8,TECHNICA,Básico Minas,Sí,No,Sí,No,Sí (MECENAS),Plata,No,Se cambian a basico minas el del año pasado (nº 7),7,No,Factura evento enviada,,,,,,,nº8
28,OPTARE SOLUTIONS SA,Básico Minas,No,No,No,No,Sí (MECENAS),No,No,Decirles que lo sentimos pero no han llegado a tiempo,8,Si,,,,,,,,nº9
14,Centum,Básico Minas,No,No,No,No,Sí (MECENAS),Plata,No,,9,Si,,,,,,,,nº10
32,planCiber,Básico Minas,Sí,Sí,Sí,No,No,Plata,SI,,10,Si,,,,,,,,nº11
27,GBTEC SOFTWARE,Básico Minas,No,Sí,No,No,Sí (ENTIDAD AMIGA),No,No,,11,No,,Cubiertos,Total,Disponibles,,,,nº12
18,"DATASPARTAN ESPAÑA, S.L.",Básico Minas,Sí,No,No,No,No,No,No,,12,Si,Stands básicos Indus,12,12,0,,,,nº13
16,EGATEL ,Básico Minas,Sí,Sí,No,1 página,No,No,No,,13,No,Stands básicos Minas ,15,15,0,,,,nº14
1,GRADIANT,Avanzado Minas,Sí,Sí,Sí,No,Sí (MECENAS),No,No,nº 14,14,No,Stands básicos Descansillos Minas ,8,8,0,,,,nº15
6,Deloitte,Avanzado Minas,No,Sí,No,1 página,No,No,No,Cambian a Avanzado de Minas (nº 15),15,No,Stands básicos Indus 2ª planta,10,10,0,,,,nº16
38,atlanTTic Research Center (Universidade de Vigo),Básico Minas,Sí,No,No,No,Sí (MECENAS),Bronce,No,"Pasarles factura antes del 15 de dicimbre, repiten el workshop y piden hall...",16,Si,,,,,,,,nº17
22,Balidea Consulting & Programming S.L.,Básico Minas,No,No,No,No,Sí (ENTIDAD AMIGA),No,SI,,17,Si,,,,,,,,nº18
35,TTALENT,Básico Minas,No,No,No,No,No,No,No,Tinus dice que quiere su stand de siempre (nº 8),18,Si,,,,,,,,nº19
21,Ineco,Básico Indus,No,Sí,No,No,No,No,SI,,19,Si,,Cubiertos,Total,Disponibles,,,,nº20
23,"Marine Instruments, S.A.U.",Básico Indus,No,Sí,No,No,Sí (MECENAS),No,No,,20,Si,Stands avanzados Indus,3,3,0,,,,nº21
9,SERVEO,Básico Indus,Sí,Sí,Sí,No,No,No,No,,21,No,Stands avanzados Minas,3,3,0,,,,nº22
40,Indra,Básico Indus,No,Sí,No,No,Sí (MECENAS),Oro,No,Les gustaría 2x2 de indus (nº 22),22,No,,,,0,,,,nº23
10,"ASM SOFT, S.L.",Básico Indus,Sí,No,No,No,No,No,No,Se cambian a básico indus (nº 23),23,Si,,,,,,,,nº24
31,DINAK,Básico Indus,No,No,No,No,No,No,No,,24,No,,,,,,,,nº25
29,GOC S.A,Básico Indus,Sí,Sí,No,No,No,No,No,preguntar si prefieren indus ,25,No,,Interesados,,,,,,nº26
17,Applus Servicios Tecnológicos,Básico Indus,No,No,No,No,No,No,No,,26,No,Conferencias,25,,,,,,nº27
15,Grupo Servicio Movil,Básico Indus,No,Sí,No,No,No,No,No,,27,No,Workshops,19,,,,,,nº28
13,COREN,Básico Indus,No,No,No,1 página,No,No,No,Llamar para gestionar comida,28,No,Mesas Redondas,14,,,,,,nº29
11,Management Solutions,Básico Indus,No,No,No,No,No,No,SI,,29,No,,,,,,,,nº30
19,ICOIIG,Básico Indus,Sí,Sí,Sí,1 página,No,Bronce,No,,30,No,,,,,,,,nº31
4,BorgWarner,Avanzado Indus,Sí,Sí,Sí,No,Sí (MECENAS),No,No,nº 31,31,No,,,,,,,,nº32
2,Norvento Enerxía,Avanzado Indus,Sí,Sí,Sí,2 páginas,No,Plata,No,nº 32,32,Si,,,,,,,,nº33
3,ZF LIFETEC,Avanzado Indus,No,Sí,No,No,No,No,No,nº 33,33,No,,,,,,,,nº34
34,GMV,Básico Descansillo Minas,No,Sí,No,1 página,No,No,No,,34,No,,,,,,,,nº35
33,Alén Space,Básico Descansillo Minas,No,Sí,No,1 página,Sí (MECENAS),No,No,,35,No,,,,,,,,nº36
36,Televes Corporación,Básico Descansillo Minas,Sí,No,No,No,Sí (MECENAS),No,No,,36,Si,,,,,,,,nº37
24,CTAG-CENTRO TECNOLÓGICO DE AUTOMOCIÓN DE GALICIA,Básico Descansillo Minas,Sí,Sí,Sí,No,Sí (MECENAS),No,No,Les gustó el descansillo junto a la biblioteca de minas y quieren repetir (nº 37),37,Si,,,,,,,,nº38
47,FEUGA,Básico Descansillo Minas,No,No,No,No,No,No,No,,38,No,,,,,,,,nº39
48,IDOM Consulting Engineering Architecture SAU,Básico Descansillo Minas,No,Sí,Sí,No,No,No,No,,39,No,,,,,,,,nº40
49,STAC,Básico Descansillo Minas,No,No,No,No,No,Oro,SI,,40,No,,,,,,,,nº41
51,"ICTEL INGENIEROS, S.L. ",Básico Descansillo Minas,No,No,Sí,No,No,No,SI,,41,No,,,,,,,,nº42
42,EY Consulting,Básico Indus 2ª Planta,No,No,No,No,No,No,SI,,42,No,,,,,,,,nº43
39,Inasus SL,Básico Indus 2ª Planta,No,Sí,Sí,No,No,No,No,preguntar si prefieren indus 2ª planta,43,No,,,,,,,,nº44
